tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
NCS000ETT15000019,National Council of Social Service,"TO SUPPLY, INSTALL, MAINTAIN, AND REMOVE POSTERS AND LAMP POST BANNERS",2015-06-11,Awarded to Suppliers,UNIVERSAL DISPLAYS PTE LTD,89981.5
NCS000ETT15000020,National Council of Social Service,"FOR THE DEVELOPMENT AND PRODUCTION OF THREE (3) ISSUES OF RAPPORT, A PUBLICATION OF NCSS, FOR A PERIOD OF ONE (1) FINANCIAL YEAR (FY), AND WITH THE OPTION TO RENEW FOR ANOTHER ONE (1)",2015-11-18,Awarded to No Suppliers,na,0
NCS000ETT15000021,National Council of Social Service,INVITATION TO TENDER FOR ADVERTISING SERVICES (CREATIVE & COMMUNICATION) FOR SECTOR MANPOWER FY2015 WORKPLAN,2015-11-05,Awarded to Suppliers,ACOUSTIC GROUP PTE. LTD.,331891.63
NCS000ETT15000023,National Council of Social Service,INVITATION TO TENDER FOR PRODUCTION OF SPEAK UP! VIDEOS,2015-12-16,Awarded to Suppliers,ZHAO WEI FILMS PTE LTD,93296.5
NCS000ETT15000025,National Council of Social Service,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",2015-12-09,Awarded to Suppliers,MUSIC & MOVEMENT (S) PTE. LTD.,603955
NCS000ETT15000025,National Council of Social Service,"INVITATION TO TENDER FOR EVENT MANAGEMENT SERVICES FOR CARE & SHARE THANK-YOU SHOW (Comchest, Ruby)",2015-12-09,Awarded to Suppliers,Unusual Productions Pte Ltd,603955
NCS000ETT15000029,National Council of Social Service,"INVITATION TO TENDER FOR CONTENT DEVELOPMENT AND UPDATE OF DISABILITY AWARENESS WEBSITE (SPDG, Ryan)",2015-12-17,Awarded to No Suppliers,na,0
NEA000ETT14000101,National Environment Agency,"SUPPY AND DELIVERY OF RADIOSONDES, OZONESONDES, WEATHER BALLOONS AND PARACHUTES",2015-01-28,Awarded to Suppliers,Aeradio Technology Pte Ltd,1017445.09
NEA000ETT14000101,National Environment Agency,"SUPPY AND DELIVERY OF RADIOSONDES, OZONESONDES, WEATHER BALLOONS AND PARACHUTES",2015-01-28,Awarded to Suppliers,TOTEX CORPORATION,1017445.09
NEA000ETT14000117,National Environment Agency,Supply and delivery of mechanical spare parts to Tuas Incineration Plant,2015-01-26,Awarded to Suppliers,L-META ENGINEERING PTE LTD,0
NEA000ETT14000117,National Environment Agency,Supply and delivery of mechanical spare parts to Tuas Incineration Plant,2015-01-26,Awarded to Suppliers,M & M MECHANICAL ENGINEERING PTE LTD,0
NEA000ETT14000119,National Environment Agency,PROVISION OF CONSULTANCY SERVICES FOR MSS' BUSINESS CONTINUITY AND IT DISASTER RECOVERY PLANS,2015-01-26,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,118000
NEA000ETT14000130,National Environment Agency,"The operation and maintenance of landfill equipment, vehicles and floating platform at Semakau Landfill",2015-01-26,Awarded to Suppliers,QUEK & QUEK CIVIL ENGINEERING PTE LTD,8333068
NEA000ETT14000134,National Environment Agency,"TENDER FOR THE SUPPLY, COMMISSIONING AND DELIVERY OF FIELD SAMPLING EQUIPMENT FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE",2015-03-05,Awarded to Suppliers,APP SYSTEMS SERVICES PTE. LTD.,230550
NEA000ETT14000134,National Environment Agency,"TENDER FOR THE SUPPLY, COMMISSIONING AND DELIVERY OF FIELD SAMPLING EQUIPMENT FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE",2015-03-05,Awarded to Suppliers,Chokim Scientific (S) Pte Ltd,230550
NEA000ETT14000134,National Environment Agency,"TENDER FOR THE SUPPLY, COMMISSIONING AND DELIVERY OF FIELD SAMPLING EQUIPMENT FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE",2015-03-05,Awarded to Suppliers,IT TECHNOLOGIES PTE LTD,230550
NEA000ETT14000134,National Environment Agency,"TENDER FOR THE SUPPLY, COMMISSIONING AND DELIVERY OF FIELD SAMPLING EQUIPMENT FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE",2015-03-05,Awarded to Suppliers,Lee Hung Scientific Pte Ltd,230550
NEA000ETT14000134,National Environment Agency,"TENDER FOR THE SUPPLY, COMMISSIONING AND DELIVERY OF FIELD SAMPLING EQUIPMENT FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE",2015-03-05,Awarded to Suppliers,NANEUM LIMITED,230550
NEA000ETT14000136,National Environment Agency,Supply and Installation of Variable Speed Drive Units at Tuas Incineration Plant,2015-01-29,Awarded to Suppliers,ABB PTE. LTD.,193300
NEA000ETT14000139,National Environment Agency,TENDER FOR THE PROVISION OF VARIOUS CLASSES OF GENERAL INSURANCE COVERAGE FOR THE NATIONAL ENVIRONMENT AGENCY FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR A FURTHER PERIOD OF ONE (1) YEAR,2015-01-29,Awarded to Suppliers,AXA INSURANCE SINGAPORE PTE LTD,1351090.68
NEA000ETT14000141,National Environment Agency,Supply and installation of pumps at Tuas Incineration Plant,2015-02-25,Awarded to Suppliers,SANLI M&E ENGINEERING PTE. LTD.,820670
NEA000ETT14000142,National Environment Agency,The Upgrading of the Electrical Generation and Distribution System at Semakau Landfill,2015-02-12,Awarded to Suppliers,MEMIONTEC PTE LTD,1067700
NEA000ETT14000144,National Environment Agency,Refurbishment of Refractory Tiles at Tuas South Incineration Plant,2015-01-09,Awarded to Suppliers,JEL MAINTENANCE PTE LTD,11392328
NEA000ETT14000145,National Environment Agency,PROVISION OF APPLICATION SOFTWARE MAINTENANCE AND SUPPORT SERVICES FOR RADIATION PROTECTION AND LABORATORY MANAGEMENT SYSTEM (RPLMS),2015-06-08,Awarded to Suppliers,CSC TECHNOLOGY SINGAPORE PTE. LTD.,161224
NEA000ETT14000146,National Environment Agency,"THE DESIGN OF LAYOUT AND PUBLICATION OF RECRUITMENT ADVERTISEMENTS IN LOCAL PAPERS (E.g THE STRAITS TIMES, LIANHE ZAOBAO, BERITA HARIAN, TAMIL MURASU AND/OR TODAY)",2015-01-20,Awarded to Suppliers,LINS ADVERTISING & MARKETING PTE LTD,0
NEA000ETT14000147,National Environment Agency,Provision of Consultancy Services for an Energy Efficiency Benchmarking Study of Food Manufacturing Plants,2015-01-07,Awarded to Suppliers,LJ ENERGY PTE. LTD.,480000
NEA000ETT14000149,National Environment Agency,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF GAS DETECTION TUBES FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-05-08,Awarded to Suppliers,ANSAC TECHNOLOGY (S) PTE LTD,76527
NEA000ETT14000149,National Environment Agency,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF GAS DETECTION TUBES FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-05-08,Awarded to Suppliers,JOHNSON SCIENTIFIC EQUIPMENT COMPANY,76527
NEA000ETT14000149,National Environment Agency,INVITATION TO TENDER FOR THE SUPPLY AND DELIVERY OF GAS DETECTION TUBES FOR INDOOR ENVIRONMENTAL QUALITY TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-05-08,Awarded to Suppliers,SKC ASIA HSE SAMPLING TECHNOLOGIES PTE. LTD.,76527
NEA000ETT14000150,National Environment Agency,"Tender for the Supply, Delivery, Installation and Commissioning of Air Monitoring Station and Equipment",2015-01-12,Awarded to Suppliers,FYH INTEGRATED PTE. LTD.,275953
NEA000ETT14000151,National Environment Agency,Provision of auxiliary police officers (APOs) and enforcement officers (EOs) for operation against vehicle emission related offences,2015-01-30,Awarded to Suppliers,CERTIS CISCO AUXILIARY POLICE FORCE PTE. LTD.,2795475
NEA000ETT14000155,National Environment Agency,MANAGEMENT OF NEW HAWKER CENTRE (HOUGANG CI YUAN),2015-06-03,Awarded to Suppliers,FEI SIONG FOOD MANAGEMENT PTE. LTD.,2688000
NEA000ETT14000157,National Environment Agency,Maintenance Of the Telemetric Air Quality Monitoring and Management System,2015-01-06,Awarded to Suppliers,WINSYS TECHNOLOGY PTE LTD,629800
NEA000ETT14000158,National Environment Agency,The Maintenance of Mechanical Equipment at Tuas Incineration Plant,2015-01-29,Awarded to Suppliers,ENSURE ENGINEERING PTE LTD,0
NEA000ETT14000160,National Environment Agency,SUPPLY OF A LITTER BIN MANAGEMENT SYSTEM,2015-01-29,Awarded to Suppliers,MOBIQUEST SOLUTIONS PTE. LTD.,1492474
NEA000ETT14000161,National Environment Agency,"The Transportation of Ash, Fly Ash and Scrap Metal for Tuas and Tuas South Incineration Plants",2015-01-29,Awarded to Suppliers,G & C GENERAL CONTRACTORS PTE LTD,0
NEA000ETT14000162,National Environment Agency,"THE DESIGN, MANUFACTURE, SUPPLY, DELIVERY, INSTALLATION, INTEGRATION, TESTING, OPTIMIZING, COMMISSIONING AND COMPREHENSIVE MAINTENANCE OF A DUAL POLARIZATION C-BAND METEOROLOGICAL DOPPLER WEATHER RADAR SYSTEM.",2015-05-07,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED,8495035
NEA000ETT14000163,National Environment Agency,INVITATION TO TENDER FOR THE PROVISION OF RENOVATION WORKS AT ENVIRONMENTAL HEALTH INSTITUTE,2015-02-25,Awarded to Suppliers,ACROMEC ENGINEERS PTE LTD,393000
NEA000ETT14000164,National Environment Agency,"Tender for the supply, delivery, installation, testing, commissioning and maintenance of (1) one 3D scanning doppler wind lidar and (1) one 3D scanning Raman aerosol lidar for Meteorological Service Singapore",2015-04-10,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED,2891892
NEA000ETT14000165,National Environment Agency,The Replacement of Control Systems at Tuas Incineration Plant,2015-03-11,Awarded to Suppliers,AZBIL SINGAPORE PTE. LTD.,208335
NEA000ETT14000167,National Environment Agency,Supply and Delivery of Motor to Tuas Incineration Plant,2015-04-10,Awarded to Suppliers,PIRTEK ASIA PTE LTD,195000
NEA000ETT14000168,National Environment Agency,TENDER FOR PRODUCTION AND DELIVERY OF CUSTOMISED EDUCATIONAL COLLATERALS FOR 2015,2015-02-06,Awarded to Suppliers,BEXOURCE PTE. LTD.,110458
NEA000ETT14000168,National Environment Agency,TENDER FOR PRODUCTION AND DELIVERY OF CUSTOMISED EDUCATIONAL COLLATERALS FOR 2015,2015-02-06,Awarded to Suppliers,IDERIKT FISSION PTE. LTD.,110458
NEA000ETT14000168,National Environment Agency,TENDER FOR PRODUCTION AND DELIVERY OF CUSTOMISED EDUCATIONAL COLLATERALS FOR 2015,2015-02-06,Awarded to Suppliers,PRESTIGE PREMIUMS PTE. LTD.,110458
NEA000ETT14000169,National Environment Agency,"THE SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TESTING, TRAINING AND COMMISSIONING OF A TRAINING MANAGEMENT SYSTEM (TMS) WITH OPTIONS FOR  (1) MAINTENANCE & SUPPORT SERVICES,  (2) ENHANCEMENTS,  (3) SYSTEM INTEGRATION AND  (4) TRAINING",2015-07-14,Awarded to Suppliers,HIEND SOFTWARE PTE. LTD.,935000
NEA000ETT14000170,National Environment Agency,Supply of Quantitative Risk Assessment (QRA) modelling software,2015-04-06,Awarded to Suppliers,TNO,65300
NEA000ETT14000171,National Environment Agency,Tender for the Provision of Laboratory Analytical Services and Sampling for Coastal Water Quality Assessment,2015-02-27,Awarded to Suppliers,TUV SUD PSB PTE. LTD.,85000
NEA000ETT15000001,National Environment Agency,THE OPERATION AND MAINTENANCE OF THE LEACHATE TREATMENT PLANT AT THE CLOSED TAMPINES DUMPING GROUND,2015-03-17,Awarded to Suppliers,ENSURE ENGINEERING PTE LTD,343680
NEA000ETT15000002,National Environment Agency,PROVISION OF LOGISTICS SERVICES FOR OIL SPILL CLEAN-UP,2015-05-28,Awarded to Suppliers,ST Logistics Pte. Ltd.,11735915.5
NEA000ETT15000003,National Environment Agency,CONTRACT FOR CLEANING SERVICES,2015-04-15,Awarded to Suppliers,CHYE THIAM MAINTENANCE PTE LTD,14200
NEA000ETT15000004,National Environment Agency,2nd National Climate Change Study on Impacts Due To Climate Change,2015-04-10,Awarded to Suppliers,MOTT MACDONALD SINGAPORE PTE LIMITED,294000
NEA000ETT15000005,National Environment Agency,Consultancy Study on Emission Inventory for Air Pollutants in Singapore,2015-04-28,Awarded to Suppliers,ENVIROSOLUTIONS & CONSULTING PTE. LTD.,492000
NEA000ETT15000010,National Environment Agency,PROVISION OF CONSULTANCY SERVICES,2015-08-03,Awarded to No Suppliers,na,0
NEA000ETT15000011,National Environment Agency,PROPOSED ERECTION OF A 4 STOREY BUILDING COMPRISING 2 STOREY HAWKER CENTRE AND 2 STOREY CAR PARK AT PASIR RIS CENTRAL,2015-07-15,Awarded to Suppliers,LBD ENGINEERING PTE. LTD.,16800000
NEA000ETT15000012,National Environment Agency,Maintenance and operation of volatile organic compounds analyser systems,2015-04-02,Awarded to Suppliers,PerkinElmer Singapore Pte Ltd,1925520
NEA000ETT15000013,National Environment Agency,RENTAL AND MAINTENANCE OF AIR-CONDITIONED OFFICE CONTAINERS WITH WORKSTATIONS (2 NOS),2015-04-24,Awarded to Suppliers,NEXUS CONSULTANCY SERVICES PTE LTD,43600
NEA000ETT15000014,National Environment Agency,"Supply, Delivery and Commissioning of Laboratory Equipment at Environmental Health Institute",2015-04-28,Awarded to Suppliers,ACRE ENGINEERING PTE LTD,128984
NEA000ETT15000014,National Environment Agency,"Supply, Delivery and Commissioning of Laboratory Equipment at Environmental Health Institute",2015-04-28,Awarded to Suppliers,SciMed (Asia) Pte Ltd,128984
NEA000ETT15000014,National Environment Agency,"Supply, Delivery and Commissioning of Laboratory Equipment at Environmental Health Institute",2015-04-28,Awarded to Suppliers,VWR SINGAPORE PTE. LTD.,128984
NEA000ETT15000015,National Environment Agency,SUPPLY AND DELIVERY OF FLUORESCENCE RESONANCE ENERGY TRANSFER PROBES AND TAQMAN HYDROLYSIS PROBES TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-10-26,Awarded to Suppliers,GENE-ETHICS (ASIA) PTE. LTD.,257857.2
NEA000ETT15000015,National Environment Agency,SUPPLY AND DELIVERY OF FLUORESCENCE RESONANCE ENERGY TRANSFER PROBES AND TAQMAN HYDROLYSIS PROBES TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-10-26,Awarded to Suppliers,LIFE TECHNOLOGIES HOLDINGS PTE. LTD.,257857.2
NEA000ETT15000015,National Environment Agency,SUPPLY AND DELIVERY OF FLUORESCENCE RESONANCE ENERGY TRANSFER PROBES AND TAQMAN HYDROLYSIS PROBES TO THE ENVIRONMENTAL HEALTH INSTITUTE,2015-10-26,Awarded to Suppliers,Roche Diagnostics Asia Pacific Pte Ltd,257857.2
NEA000ETT15000017,National Environment Agency,PROVISION OF EVENT MANAGEMENT AND RELATED SERVICES FOR THE ECOFRIEND AWARDS CEREMONY 2015,2015-03-13,Awarded to No Suppliers,na,0
NEA000ETT15000018,National Environment Agency,Refurbishment of Hopper Jacket Systems at Tuas South Incineration Plant,2015-06-22,Awarded to Suppliers,YAMATO TECHNOLOGIES PTE. LTD.,12345600
NEA000ETT15000020,National Environment Agency,Event Planning and Management for the National Energy Efficiency Conference,2015-04-24,Awarded to Suppliers,TWIST MEDIA PTE. LTD.,307950
NEA000ETT15000021,National Environment Agency,SUPPLY AND DELIVERY OF MOSQUITO GLUE BOARDS,2015-04-29,Awarded to No Suppliers,na,0
NEA000ETT15000023,National Environment Agency,SUPPLY AND DELIVERY OF MOSQUITO TRAPS,2015-04-29,Awarded to No Suppliers,na,0
NEA000ETT15000024,National Environment Agency,Tender for Servicing and Maintenance of Air-Conditioning Systems at NEA Incineration Plants,2015-05-14,Awarded to Suppliers,INNOFLEX PTE. LTD.,0
NEA000ETT15000025,National Environment Agency,"The Operation of refuse, bulky waste, ash and scrap handling system at Tuas South Incineration Plant",2015-05-07,Awarded to Suppliers,ENSURE ENGINEERING PTE LTD,7399000
NEA000ETT15000026,National Environment Agency,Development of Reference Manuals for the Singapore Certified Energy Manager (SCEM)(Professional Level) Training Programme,2015-06-16,Awarded to Suppliers,"Institution of Engineers Singapore, The",140000
NEA000ETT15000027,National Environment Agency,TENDER FOR DESIGN AND BUILD OFFICE AND HALL,2015-09-29,Awarded to Suppliers,CALVARY CONSTRUCTION PTE. LTD.,1406100
NEA000ETT15000028,National Environment Agency,Tender for Servicing and Maintenance of Weighbridges and Accessories at National Environment Agency Incineration Plants,2015-06-30,Awarded to Suppliers,S.A.C. (PTE) LTD,0
NEA000ETT15000028,National Environment Agency,Tender for Servicing and Maintenance of Weighbridges and Accessories at National Environment Agency Incineration Plants,2015-06-30,Awarded to Suppliers,WEIGHMAN PTE LTD,0
NEA000ETT15000029,National Environment Agency,SUPPLY AND DELIVERY OF CRANE SYSTEMS SPARE PARTS TO TUAS SOUTH INCINERATION PLANT,2015-08-03,Awarded to Suppliers,NSK HEAT EXCHANGERS PTE. LTD.,1397848.4
NEA000ETT15000030,National Environment Agency,PROVISION OF SEQUENCING SERVICES,2015-06-12,Awarded to Suppliers,AXIL SCIENTIFIC PTE. LTD.,820500
NEA000ETT15000031,National Environment Agency,PROVISION OF PUBLICITY AND ENGAGEMENT INITIATIVES FOR DENGUE PREVENTION CAMPAIGN,2015-06-08,Awarded to Suppliers,DDB Worldwide Pte Ltd,3880796.67
NEA000ETT15000032,National Environment Agency,MEDIA MONITORING SERVICES FOR THE NATIONAL ENVIRONMENT AGENCY FOR A PERIOD OF ONE  YEAR AND WITH THE OPTION TO RENEW FOR ANOTHER ONE YEAR,2015-04-28,Awarded to Suppliers,IMPACT! MEDIA MONITORING LLP,134400
NEA000ETT15000033,National Environment Agency,THE APPOINTMENT OF AN INSURANCE BROKER FOR A PERIOD OF TWO YEARS WITH AN OPTION TO EXTEND FOR A FURTHER PERIOD OF ONE YEAR,2015-04-13,Awarded to Suppliers,WILLIS (SINGAPORE) PTE LTD,55000
NEA000ETT15000034,National Environment Agency,CONSULTANCY STUDY ON ASSESSMENT OF SECONDARY IMPACTS OF THE USE OF WOLBACHIA TECHNOLOGY TO SUPPRESS AEDES AEGYPTI POPULATION,2015-05-22,Awarded to No Suppliers,na,0
NEA000ETT15000035,National Environment Agency,The Supply and Delivery of Hydrated Lime Powder to Incineration Plants,2015-05-28,Awarded to Suppliers,LHOIST SINGAPORE PRIVATE LIMITED,19372500
NEA000ETT15000035,National Environment Agency,The Supply and Delivery of Hydrated Lime Powder to Incineration Plants,2015-05-28,Awarded to Suppliers,Taiko Marketing (S) Pte Ltd,19372500
NEA000ETT15000037,National Environment Agency,PROVISION OF MEDIA PLANNING AND BUYING INITIATIVES FOR NEA'S PUBLIC EDUCATION AND COMMUNICATIONS CAMPAIGNS,2015-06-08,Awarded to Suppliers,STARCOM MEDIA WORLDWIDE,6987826.66
NEA000ETT15000038,National Environment Agency,Upgrading and Servicing of Low and Medium Voltage Equipment at Tuas South Incineration Plant,2015-06-10,Awarded to Suppliers,ABB PTE. LTD.,848760
NEA000ETT15000039,National Environment Agency,CLEANING INDUSTRY MANPOWER STUDY,2015-06-15,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,248000
NEA000ETT15000042,National Environment Agency,Supply of Audit Services,2015-06-09,Awarded to Suppliers,PRICEWATERHOUSECOOPERS LLP,711646
NEA000ETT15000043,National Environment Agency,PROVISION OF PUBLICITY AND ENGAGEMENT INITIATIVES FOR FOOD WASTE REDUCTION CAMPAIGN,2015-07-30,Awarded to Suppliers,3-SIXTY BRAND COMMUNICATIONS PTE. LTD.,1336923.5
NEA000ETT15000044,National Environment Agency,PROVISION OF COMPREHENSIVE MAINTENANCE FOR A DUAL POLARIZATION S-BAND METEOROLOGICAL DOPPLER WEATHER RADAR SYSTEM,2015-06-23,Awarded to Suppliers,SINGAPORE TECHNOLOGIES ELECTRONICS LIMITED,3228886
NEA000ETT15000046,National Environment Agency,SUPPLY AND DELIVERY OF PIRIMIPHOS-METHYL INSECTICIDES,2015-06-08,Awarded to Suppliers,Agro Technic Pte Ltd,286000
NEA000ETT15000047,National Environment Agency,PROVISION OF SOCIAL MEDIA PLANNING AND ENGAGEMENT INITIATIVES FOR NEA'S PUBLIC EDUCATION COMMUNICATION CAMPAIGNS,2015-07-03,Awarded to No Suppliers,na,0
NEA000ETT15000048,National Environment Agency,Servicing and Maintenance of Motors and Magnetic Separators at Tuas Incineration Plant and Tuas South Incineration Plant,2015-07-13,Awarded to Suppliers,Synchron Electrical Services Pte Ltd,0
NEA000ETT15000050,National Environment Agency,Maintenance of Mechanical Equipment at Tuas South Incineration Plant,2015-08-19,Awarded to Suppliers,BRYAN BOILER ENGINEERING PTE LTD,0
NEA000ETT15000051,National Environment Agency,FOOD WASTE MANAGEMENT IN MARKETS/HAWKER CENTRES,2015-08-26,Awarded to Suppliers,ECO-WIZ (SG) PTE. LTD.,257500
NEA000ETT15000051,National Environment Agency,FOOD WASTE MANAGEMENT IN MARKETS/HAWKER CENTRES,2015-08-26,Awarded to Suppliers,VRM OPERATIONS (SINGAPORE) PTE. LTD.,257500
NEA000ETT15000052,National Environment Agency,The supply and delivery of equipment and software for measurement of radiation levels,2015-10-01,Awarded to Suppliers,Analytical Technologies Pte Ltd,255200
NEA000ETT15000052,National Environment Agency,The supply and delivery of equipment and software for measurement of radiation levels,2015-10-01,Awarded to Suppliers,O'Connor's Singapore Pte Ltd,255200
NEA000ETT15000052,National Environment Agency,The supply and delivery of equipment and software for measurement of radiation levels,2015-10-01,Awarded to Suppliers,QT Instruments (S) Pte Ltd,255200
NEA000ETT15000054,National Environment Agency,MAINTENANCE OF CREMATORS AT MANDAI CREMATORIUM AND CHOA CHU KANG CREMATORIUM,2015-07-08,Awarded to Suppliers,"TAIYO CHIKURO INDUSTRIES CO, LTD. (SINGAPORE BRANCH)",0
NEA000ETT15000055,National Environment Agency,The refurbishment of soot-blower system at Tuas Incineration Plant,2015-08-18,Awarded to Suppliers,ASIA PROJECTS ENGINEERING PRIVATE LIMITED,2780000
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,ALLEN & GLEDHILL LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,CENTRAL CHAMBERS LAW CORPORATION,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,COLIN NG & PARTNERS LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,HARRY ELIAS PARTNERSHIP LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,INFINITUS LAW CORPORATION,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,RAJAH & TANN SINGAPORE LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,RHTLAW TAYLOR WESSING LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,WONGPARTNERSHIP LLP,73310
NEA000ETT15000056,National Environment Agency,PROVISION OF LEGAL SERVICES TO THE NATIONAL ENVIRONMENT AGENCY,2015-08-30,Awarded to Suppliers,YEO-LEONG & PEH LLC,73310
NEA000ETT15000057,National Environment Agency,"TENDER FOR THE CONCEPTUALISATION, DESIGN, PRODUCTION AND DELIVERY OF PRE-SCHOOL EDUCATIONAL MATERIALS",2015-07-14,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd,60000
NEA000ETT15000058,National Environment Agency,"COMPLETION CONTRACT FOR THE PROPOSED REDEVELOPMENT OF CHOA CHU KANG CEMETERY (BLOCK N-1-10, BLOCK N-1-13 and BLOCK C-2-6)",2015-08-28,Awarded to Suppliers,PRECISE DEVELOPMENT PTE. LTD.,7800000
NEA000ETT15000059,National Environment Agency,PROPOSED COMMERCIAL DEVELOPMENT COMPRISING ONE BLOCK OF TWO-STOREY MARKET / HAWKER CENTRE BUILDING WITH A BASEMENT AND FIRST STOREY CAR PARK ON LOT 04129K MK06 AT JURONG WEST STREET 61,2015-09-18,Awarded to Suppliers,LBD ENGINEERING PTE. LTD.,12300000
NEA000ETT15000060,National Environment Agency,"THE SUPPLY, INSTALLATION AND THE PROVISION OF MAINTENANCE SERVICE FOR THE SPECTROPHOTOMETER",2015-12-02,Awarded to Suppliers,KIPP & ZONEN ASIA PACIFIC PTE. LTD.,459500
NEA000ETT15000061,National Environment Agency,PROVISION OF VIDEO ANALYTIC AND SURVEILANCE SERVICES AGAINST HIGH RISE LTTERING,2015-08-12,Awarded to Suppliers,ONEBERRY TECHNOLOGIES PTE. LTD.,4257360
NEA000ETT15000062,National Environment Agency,SUPPLY AND DELIVERY OF MOSQUITO TRAPS AND GLUE BOARDS,2015-08-26,Awarded to Suppliers,BENTZ JAZ SINGAPORE PTE LTD,436800
NEA000ETT15000062,National Environment Agency,SUPPLY AND DELIVERY OF MOSQUITO TRAPS AND GLUE BOARDS,2015-08-26,Awarded to Suppliers,PERMACARE ASSOCIATE,436800
NEA000ETT15000063,National Environment Agency,PROPOSED DEVELOPMENT COMPRISING ONE BLOCK OF ONE-STOREY HAWKER CENTRE WITH THE OPTION FOR EITHER ONE STOREY OR TWO STOREY OF CARPARK AT MK19-01873T AT YISHUN AVENUE 11,2015-10-23,Awarded to Suppliers,H P CONSTRUCTION & ENGINEERING PTE LTD,11564873
NEA000ETT15000064,National Environment Agency,SUPPLY AND INSTALLATION OF AUTOGATE MECHANISM,2015-07-21,Awarded to Suppliers,FYH INTEGRATED PTE. LTD.,82900
NEA000ETT15000066,National Environment Agency,PROVISION OF MEDICAL EXAMINATION SERVICES FOR VECTOR CONTROL OFFICERS,2015-11-02,Awarded to No Suppliers,na,0
NEA000ETT15000067,National Environment Agency,Supply and Delivery of Electrical and Electronic Components to Tuas South Incineration Plant,2015-11-05,Awarded to Suppliers,ADVANCED CAE PTE. LTD.,685481
NEA000ETT15000067,National Environment Agency,Supply and Delivery of Electrical and Electronic Components to Tuas South Incineration Plant,2015-11-05,Awarded to Suppliers,MECHANTRONIC ENGINEERING PTE LTD,685481
NEA000ETT15000067,National Environment Agency,Supply and Delivery of Electrical and Electronic Components to Tuas South Incineration Plant,2015-11-05,Awarded to Suppliers,RANK TECHNOLOGIES PTE. LTD.,685481
NEA000ETT15000067,National Environment Agency,Supply and Delivery of Electrical and Electronic Components to Tuas South Incineration Plant,2015-11-05,Awarded to Suppliers,SICK PTE. LTD.,685481
NEA000ETT15000068,National Environment Agency,Supply and Installation of Fire Fighting Equipment at Tuas South Incineration Plant.,2015-09-21,Awarded to Suppliers,PRO-ACE POWER & CONTROL PTE LTD,181800
NEA000ETT15000069,National Environment Agency,Provision of earthworks at Semakau Landfill,2015-09-04,Awarded to Suppliers,OUNG CONSTRUCTION (S) PTE LTD,3177000
